Date,Equity,Peak,Drawdown
2025-01-02,1.0,1.0,0.0
2025-01-03,1.0,1.0,0.0
2025-01-06,1.0,1.0,0.0
2025-01-07,1.0,1.0,0.0
2025-01-08,1.0,1.0,0.0
2025-01-09,1.0,1.0,0.0
2025-01-10,1.0,1.0,0.0
2025-01-13,1.0,1.0,0.0
2025-01-14,1.0,1.0,0.0
2025-01-15,1.0,1.0,0.0
2025-01-16,1.0,1.0,0.0
2025-01-17,1.0,1.0,0.0
2025-01-20,1.0,1.0,0.0
2025-01-21,1.0,1.0,0.0
2025-01-22,1.0,1.0,0.0
2025-01-23,1.0,1.0,0.0
2025-01-24,1.0,1.0,0.0
2025-01-30,1.0,1.0,0.0
2025-01-31,1.0,1.0,0.0
2025-02-03,1.0,1.0,0.0
2025-02-04,1.0,1.0,0.0
2025-02-05,1.0,1.0,0.0
2025-02-06,1.0,1.0,0.0
2025-02-07,1.0,1.0,0.0
2025-02-10,1.0,1.0,0.0
2025-02-11,1.0,1.0,0.0
2025-02-12,1.0,1.0,0.0
2025-02-13,1.0,1.0,0.0
2025-02-14,1.0,1.0,0.0
2025-02-17,1.0,1.0,0.0
2025-02-18,1.0,1.0,0.0
2025-02-19,1.0,1.0,0.0
2025-02-20,1.0,1.0,0.0
2025-02-21,1.0,1.0,0.0
2025-02-24,1.0,1.0,0.0
2025-02-25,1.0,1.0,0.0
2025-02-26,1.0,1.0,0.0
2025-02-27,1.0,1.0,0.0
2025-02-28,1.0,1.0,0.0
2025-03-03,1.0,1.0,0.0
2025-03-04,1.0,1.0,0.0
2025-03-05,1.0,1.0,0.0
2025-03-06,1.0,1.0,0.0
2025-03-07,1.0,1.0,0.0
2025-03-10,1.0,1.0,0.0
2025-03-11,1.0,1.0,0.0
2025-03-12,1.0,1.0,0.0
2025-03-13,1.0,1.0,0.0
2025-03-14,1.0,1.0,0.0
2025-03-17,1.0,1.0,0.0
2025-03-18,1.0,1.0,0.0
2025-03-19,1.0,1.0,0.0
2025-03-20,1.0,1.0,0.0
2025-03-21,1.0,1.0,0.0
2025-03-24,1.0,1.0,0.0
2025-03-25,1.0,1.0,0.0
2025-03-26,1.0,1.0,0.0
2025-03-27,1.0,1.0,0.0
2025-04-08,1.0,1.0,0.0
2025-04-09,1.0,1.0,0.0
2025-04-10,1.0,1.0,0.0
2025-04-11,1.0,1.0,0.0
2025-04-14,1.0,1.0,0.0
2025-04-15,1.0,1.0,0.0
2025-04-16,1.0,1.0,0.0
2025-04-17,1.0,1.0,0.0
2025-04-21,1.0,1.0,0.0
2025-04-22,1.0,1.0,0.0
2025-04-23,1.0,1.0,0.0
2025-04-24,1.0,1.0,0.0
2025-04-25,1.0,1.0,0.0
2025-04-28,1.0,1.0,0.0
2025-04-29,1.0,1.0,0.0
2025-04-30,1.0,1.0,0.0
2025-05-02,1.0,1.0,0.0
2025-05-05,1.0,1.0,0.0
2025-05-06,1.0,1.0,0.0
2025-05-07,1.0,1.0,0.0
2025-05-08,1.0,1.0,0.0
2025-05-09,1.0,1.0,0.0
2025-05-14,1.0,1.0,0.0
2025-05-15,1.0,1.0,0.0
2025-05-16,1.0,1.0,0.0
2025-05-19,1.0,1.0,0.0
2025-05-20,1.0,1.0,0.0
2025-05-21,1.0,1.0,0.0
2025-05-22,1.0,1.0,0.0
2025-05-23,1.0,1.0,0.0
2025-05-26,1.0,1.0,0.0
